TERM,TERM_REDUCED,PHRASE,DOCUMENT,FREQ
rois:0:interest,rois interest,interests (ROIs,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
interest,interest,interests,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
xct:0:measure,measure xct,measured with XCT,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
disk:0:core,core disk,cored out of each disk,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
datum:0:set,set datum,data sets,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
datum,datum,data,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
set,set,set,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,4
image,image,image,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,9
actual:0:volume,actual volume,actual volume ,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
obtain,obtain,obtained,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
voxel:0:size,voxel size,voxel size ,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
approximately:0:µm,approximately µm,approximately 25 µm,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
tiff:0:image:1:folder,tiff image folder,tiff image folders,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
folder,folder,folders,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
folder:0:image,image folder,images in each folder ,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
bit,bit,bit,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
setn,setn,setn,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
sample:0:set,set sample,sample set ,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
file,file,file,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
represent,represent,represents,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
sample:0:number:1:represent,represent number sample,represents the sample number,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
sample:0:number,number sample,sample number,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
number,number,number,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
final:0:trailing,trailing final,final trailing ,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
stack,stack,stack,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
image:0:number,image number,number of the image ,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
resolution,resolution,Resolution,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
metal:0:material,metal material,Materials Metals,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
material,material,Materials,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,2
manufacturing,manufacturing,Manufacturing,High-Resolution X-ray computed tomography (XCT) image data set of additively manufactured cobalt chrome samples produced with varying laser powder bed fusion processing parameters,3
large:0:collection,collection large,large collection,NIST Chem-BLAST Gateway for PDB,2
chemical:0:compound,compound chemical,chemical compounds ,NIST Chem-BLAST Gateway for PDB,3
chemical,chemical,chemical,NIST Chem-BLAST Gateway for PDB,2
compound,compound,compounds,NIST Chem-BLAST Gateway for PDB,2
find,find,found,NIST Chem-BLAST Gateway for PDB,4
method,method,method,NIST Chem-BLAST Gateway for PDB,7
use,use,use,NIST Chem-BLAST Gateway for PDB,7
fragment,fragment,fragments,NIST Chem-BLAST Gateway for PDB,5
term,term,terms,NIST Chem-BLAST Gateway for PDB,3
chemical:0:substructure,substructure chemical,chemical substructures,NIST Chem-BLAST Gateway for PDB,2
base,base,based,NIST Chem-BLAST Gateway for PDB,10
data:0:tree,tree data,data tree,NIST Chem-BLAST Gateway for PDB,3
data,data,data,NIST Chem-BLAST Gateway for PDB,2
tree,tree,tree,NIST Chem-BLAST Gateway for PDB,3
organize,organize,organizes,NIST Chem-BLAST Gateway for PDB,3
search:0:engine,engine search,search engines ,NIST Chem-BLAST Gateway for PDB,3
search,search,search,NIST Chem-BLAST Gateway for PDB,3
engine,engine,engines,NIST Chem-BLAST Gateway for PDB,2
data:0:tree:1:use,tree data use,use this data tree,NIST Chem-BLAST Gateway for PDB,2
develop,develop,developed,NIST Chem-BLAST Gateway for PDB,2
chemical:1:structural:0:neighbor,neighbor structural chemical,chemical structural neighbors,NIST Chem-BLAST Gateway for PDB,2
fragment:0:search,fragment search,search on the fragments ,NIST Chem-BLAST Gateway for PDB,3
chem:0:blast:1:technique,chem blast technique,Chem-BLAST technique ,NIST Chem-BLAST Gateway for PDB,2
technique,technique,technique,NIST Chem-BLAST Gateway for PDB,3
query,query,query,NIST Chem-BLAST Gateway for PDB,2
enable,enable,Enabling,NIST Chem-BLAST Gateway for PDB,3
hiv:0:structural:1:database,database structural hiv,HIV Structural database ,NIST Chem-BLAST Gateway for PDB,2
database,database,database,NIST Chem-BLAST Gateway for PDB,2
ligand,ligand,ligands,NIST Chem-BLAST Gateway for PDB,7
extend,extend,extend,NIST Chem-BLAST Gateway for PDB,3
pdb:0:find:1:structure,pdb structure find,structures found in the PDB,NIST Chem-BLAST Gateway for PDB,2
pdb,pdb,PDB,NIST Chem-BLAST Gateway for PDB,4
structure,structure,structures,NIST Chem-BLAST Gateway for PDB,5
letter:0:code:1:find:2:ring,code find ring letter,rings found in three-letter codes ,NIST Chem-BLAST Gateway for PDB,2
letter,letter,letter,NIST Chem-BLAST Gateway for PDB,3
establish,establish,established,NIST Chem-BLAST Gateway for PDB,2
web,web,Web,NIST Chem-BLAST Gateway for PDB,6
ligand:1:structural:0:scaffold,scaffold ligand structural,structural scaffolds of the ligands ,NIST Chem-BLAST Gateway for PDB,2
scaffold,scaffold,scaffolds,NIST Chem-BLAST Gateway for PDB,2
adobe:2:flex:0:base:1:interface,interface adobe base flex,Adobe Flex-based interface ,NIST Chem-BLAST Gateway for PDB,2
web:0:information,web information,information on the Web,NIST Chem-BLAST Gateway for PDB,2
information,information,Information,NIST Chem-BLAST Gateway for PDB,2
ring:1:type:0:scaffold,type scaffold ring,ring type scaffolds ,NIST Chem-BLAST Gateway for PDB,2
work:0:extend,work extend,extend this work ,NIST Chem-BLAST Gateway for PDB,2
work,work,work,NIST Chem-BLAST Gateway for PDB,2
way,way,way,NIST Chem-BLAST Gateway for PDB,2
pubchem:0:structure:1:extend,structure pubchem extend,extended to structures in PubChem,NIST Chem-BLAST Gateway for PDB,4
pubchem:0:structure,structure pubchem,structures in PubChem,NIST Chem-BLAST Gateway for PDB,2
non:1:ring:0:standard,non ring standard,non-ring standard ,NIST Chem-BLAST Gateway for PDB,2
ring:0:standard,standard ring,ring standard ,NIST Chem-BLAST Gateway for PDB,2
cell:0:image:1:datum,cell image datum,Cell-image-data ,NIST Chem-BLAST Gateway for PDB,2
cell:0:image,cell image,Cell-image,NIST Chem-BLAST Gateway for PDB,2
cell,cell,cell,NIST Chem-BLAST Gateway for PDB,2
image,image,image,NIST Chem-BLAST Gateway for PDB,3
datum,datum,data,NIST Chem-BLAST Gateway for PDB,17
structural:0:datum,structural datum,structural data,NIST Chem-BLAST Gateway for PDB,4
chem:0:blast:1:underlying:0:principle,underlying chem blast principle,underlying principles of Chem-BLAST ,NIST Chem-BLAST Gateway for PDB,2
automation:2:scientific:0:link:1:datum,datum scientific automation link,-scientific-linked-data-by-automation,NIST Chem-BLAST Gateway for PDB,2
link,link,linked,NIST Chem-BLAST Gateway for PDB,2
building,building,building,NIST Chem-BLAST Gateway for PDB,6
integration,integration,integration,NIST Chem-BLAST Gateway for PDB,2
challenge,challenge,challenge,NIST Chem-BLAST Gateway for PDB,2
solution,solution,solutions,NIST Chem-BLAST Gateway for PDB,3
terminology:0:semantic:1:infrastructure,semantic terminology infrastructure,Infrastructure-for-semantic-terminology,NIST Chem-BLAST Gateway for PDB,2
terminology,terminology,terminology,NIST Chem-BLAST Gateway for PDB,14
infrastructure,infrastructure,Infrastructure,NIST Chem-BLAST Gateway for PDB,2
science:1:root:0:terminology,terminology science root,root-terminology-for-science,NIST Chem-BLAST Gateway for PDB,2
science,science,science,NIST Chem-BLAST Gateway for PDB,2
root:0:terminology,terminology root,root-terminology-,NIST Chem-BLAST Gateway for PDB,2
root,root,root,NIST Chem-BLAST Gateway for PDB,2
demand:1:ontology:0:nugget,nugget demand ontology,demand-ontology-nuggets,NIST Chem-BLAST Gateway for PDB,2
ontology:0:nugget,nugget ontology,used-nuggets-of-ontology,NIST Chem-BLAST Gateway for PDB,3
